country_code,site_id,smr_key,bucket,hard_criteria,floor_criteria,n_hard,n_floor,n_distinct_failures
RO,9825e28e-fd6e-460d-9caf-0342563f9060,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
RO,a4fa3246-27d6-4740-898c-bdf9dadcb88c,nuscale_voygr6,hard_only,EP-01,,1,0,1
RO,aff5ffe6-fe7a-4de7-afad-9d4645a64cd9,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
RO,c3790475-3d3b-4e2b-92ae-24503fe03e6b,nuscale_voygr6,survived,,,0,0,0
RO,d498ded8-449c-4672-8bb9-0ed6c8fef775,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
RO,dac2a974-a2de-46c5-b581-03985a9ae7d0,nuscale_voygr6,floor_only,,EP-01,0,1,1
RO,e073b3f8-4312-4d34-b322-6289a3121af1,nuscale_voygr6,floor_only,,EP-01,0,1,1
RO,e43af28e-a3d3-4047-a9cf-f3b0990754b4,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
RO,f1f65cf9-996c-4922-97bd-76e38c032331,nuscale_voygr6,hard_only,EP-01,,1,0,1
RS,0182ec25-0df9-4e4b-9861-d76a332bc282,nuscale_voygr6,both,NH-05,EP-01|NH-02|NH-05,1,3,3
RS,296282b1-d079-4c1e-b2df-12c25128b963,nuscale_voygr6,floor_only,,EP-01,0,1,1
RS,2b03f2e2-64ac-4262-bbff-7a536bda5722,nuscale_voygr6,floor_only,,NH-02,0,1,1
RS,5d4aee8d-9e73-4987-907a-d092e0ba92ed,nuscale_voygr6,survived,,,0,0,0
RS,5d53da59-04c8-43e6-b29e-220bea4d9eb7,nuscale_voygr6,hard_only,NH-02,,1,0,1
RS,993ccce2-d5e1-498d-827d-8dbfeb42582b,nuscale_voygr6,survived,,,0,0,0
RS,c8f15aca-174b-4be6-a6d9-abfa4685d10d,nuscale_voygr6,floor_only,,EP-01,0,1,1
RS,d30af109-79cb-4ab5-a878-6f574b58116a,nuscale_voygr6,both,NH-05,NH-02|NH-05,1,2,2
SI,008a3366-6f56-4c1a-ac5d-6b0c75b7c7fd,nuscale_voygr6,both,NH-02|NH-04|NH-05,EP-01|NH-05|NS-08,3,3,5
SI,0750b80c-a54b-4ea5-b3e5-9dfb7309eca2,nuscale_voygr6,both,NH-02|NH-05,EP-01|NH-04|NH-05,2,3,4
SI,4cf7f820-7ad9-411e-bf39-2bbef290aaf6,nuscale_voygr6,both,EP-01|NH-02|NH-05,NH-05,3,1,3
SK,06defca3-9105-437f-afd4-52f5603d9b8e,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
SK,1719d38b-61e8-4b01-844b-3a2f85c8a186,nuscale_voygr6,both,NH-05,EP-01|NH-05,1,2,2
SK,66edd8f5-e60a-412d-9b80-56496d1407b1,nuscale_voygr6,both,EP-01|NH-05,NH-05,2,1,2
SK,770f1d3c-e5fd-493c-a376-e708d2abec6c,nuscale_voygr6,both,NH-05,NH-05,1,1,1
SK,a2d8261c-3d08-4015-946c-47dbddbd0b98,nuscale_voygr6,both,NH-05,NH-05,1,1,1
SK,c97125b3-20ed-4e21-a853-b928644ec7dd,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
TR,0049a899-af5f-41cd-86ae-2ba729b6365f,nuscale_voygr6,floor_only,,NH-02|NH-04,0,2,2
TR,021d1717-149a-4a32-af7b-5955ff593e45,nuscale_voygr6,both,NH-02,EP-01,1,1,2
TR,0248611c-b745-404f-ad50-c2870882c7a1,nuscale_voygr6,floor_only,,NH-04,0,1,1
TR,0947a4c8-4fc1-492f-9c66-2c9a993c7fb0,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
TR,0ada7b2a-f928-4c21-b082-4c7345094245,nuscale_voygr6,both,NH-02,NH-04,1,1,2
TR,0ca0b969-c519-48f3-97ab-7173d3aa6085,nuscale_voygr6,both,NH-02,EP-01,1,1,2
TR,0ca4ff78-4113-4ad9-ac04-0fd541d42338,nuscale_voygr6,floor_only,,EP-01,0,1,1
TR,0fec985c-c66e-40af-a123-a9ba4db269bb,nuscale_voygr6,floor_only,,NH-04,0,1,1
TR,1289753b-43db-4058-8fe1-6e38b5fb01b5,nuscale_voygr6,floor_only,,EP-01,0,1,1
TR,142cad75-648a-495d-8c10-792351e72126,nuscale_voygr6,survived,,,0,0,0
TR,161660e7-3ccf-4704-b452-b126599700a0,nuscale_voygr6,both,EP-01,NH-02|NH-04,1,2,3
TR,1624a526-07d8-44a4-8ed7-3b035b748f03,nuscale_voygr6,hard_only,EP-01,,1,0,1
TR,166f5fcc-1cc4-4cf5-9e52-59e7ce1557c6,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
TR,17568f0f-91fd-4efe-b4df-2c7cc5d80b7d,nuscale_voygr6,floor_only,,EP-01,0,1,1
TR,1820429d-bd95-4e56-a6db-d9bb57e2ae07,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
TR,1ce7624e-1d72-4293-8ff4-09096b56ddd2,nuscale_voygr6,floor_only,,EP-01,0,1,1
TR,1f305180-6bbf-4758-9a98-78bc9e96e195,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
TR,21ccc44f-3244-4e7f-9654-eae424288200,nuscale_voygr6,floor_only,,NH-04,0,1,1
TR,225656d9-8709-4c2f-9992-1e4f20a6fce8,nuscale_voygr6,floor_only,,NH-02,0,1,1
