criterion_a,criterion_b,pearson,spearman,max_abs,n_pairs,flagged
NH-02,NS-13,0.0,0.0,0.0,2904,False
NH-02,RI-01,0.0,0.0,0.0,2904,False
NH-02,RI-05,0.0,0.0,0.0,2904,False
NH-02,NH-10,0.0,0.0,0.0,2904,False
NH-03,NH-07,0.0,0.0,0.0,2904,False
NH-03,NH-08,0.0,0.0,0.0,2904,False
NH-03,NH-09,0.0,0.0,0.0,2904,False
NH-03,NH-10,0.0,0.0,0.0,2904,False
NH-03,NH-11,0.0,0.0,0.0,2904,False
NH-03,NH-13,0.0,0.0,0.0,2904,False
NH-03,NH-14,0.0,0.0,0.0,2904,False
NH-03,NS-06,0.0,0.0,0.0,2904,False
NH-03,NS-07,0.0,0.0,0.0,2904,False
NH-03,NS-09,0.0,0.0,0.0,2904,False
NH-02,NH-11,0.0,0.0,0.0,2904,False
NH-02,NH-09,0.0,0.0,0.0,2904,False
NH-06,NS-11,0.0,0.0,0.0,2904,False
NH-01,NH-14,0.0,0.0,0.0,2904,False
HI-08,RI-03,0.0,0.0,0.0,2904,False
HI-08,RI-04,0.0,0.0,0.0,2904,False
HI-08,RI-05,0.0,0.0,0.0,2904,False
HI-08,RI-06,0.0,0.0,0.0,2904,False
NH-01,NH-07,0.0,0.0,0.0,2904,False
NH-01,NH-08,0.0,0.0,0.0,2904,False
NH-01,NH-09,0.0,0.0,0.0,2904,False
NH-01,NH-10,0.0,0.0,0.0,2904,False
NH-01,NH-11,0.0,0.0,0.0,2904,False
NH-01,NH-13,0.0,0.0,0.0,2904,False
NH-01,NS-06,0.0,0.0,0.0,2904,False
NH-02,NH-08,0.0,0.0,0.0,2904,False
NH-01,NS-07,0.0,0.0,0.0,2904,False
NH-01,NS-09,0.0,0.0,0.0,2904,False
NH-01,NS-10,0.0,0.0,0.0,2904,False
NH-01,NS-11,0.0,0.0,0.0,2904,False
NH-01,NS-12,0.0,0.0,0.0,2904,False
NH-01,NS-13,0.0,0.0,0.0,2904,False
NH-01,RI-01,0.0,0.0,0.0,2904,False
NH-01,RI-03,0.0,0.0,0.0,2904,False
NH-01,RI-05,0.0,0.0,0.0,2904,False
NH-02,NH-07,0.0,0.0,0.0,2904,False
NH-03,NS-10,0.0,0.0,0.0,2904,False
NH-03,NS-11,0.0,0.0,0.0,2904,False
NH-03,NS-12,0.0,0.0,0.0,2904,False
NH-05,RI-05,0.0,0.0,0.0,2904,False
NH-05,NH-13,0.0,0.0,0.0,2904,False
NH-05,NS-06,0.0,0.0,0.0,2904,False
NH-05,NS-07,0.0,0.0,0.0,2904,False
NH-05,NS-09,0.0,0.0,0.0,2904,False
NH-05,NS-10,0.0,0.0,0.0,2904,False
NH-05,NS-11,0.0,0.0,0.0,2904,False
NH-05,NS-12,0.0,0.0,0.0,2904,False
NH-05,NS-13,0.0,0.0,0.0,2904,False
NH-05,RI-01,0.0,0.0,0.0,2904,False
NH-05,RI-03,0.0,0.0,0.0,2904,False
NH-06,NH-07,0.0,0.0,0.0,2904,False
NH-03,NS-13,0.0,0.0,0.0,2904,False
NH-06,NH-08,0.0,0.0,0.0,2904,False
NH-06,NH-09,0.0,0.0,0.0,2904,False
NH-06,NH-10,0.0,0.0,0.0,2904,False
