country_code,smr_key,weight_profile,scenario_family,site_id,baseline_national_rank,scenario_national_rank,rank_delta,baseline_score,scenario_score,score_delta,eligible_pair_count,small_n
PL,nuscale_voygr6,w_HI_minus_20,weight,a55e3643-8ed4-434b-b14f-2d549d09c0d9,20,21,1,6.642,6.624,-0.018000000000000682,61,False
TR,nuscale_voygr6,w_HI_minus_20,weight,a6478cb9-5b8c-4d64-bbe6-3d3ed6a3da2c,7,7,0,7.061,6.984,-0.07699999999999996,110,False
PL,nuscale_voygr6,w_HI_minus_20,weight,a67255dd-8134-418e-9377-e28516c53722,27,26,-1,6.361,6.385,0.02400000000000002,61,False
PL,nuscale_voygr6,w_HI_minus_20,weight,a6b51b4f-ba1d-49cd-bc99-8898acdbeb78,29,30,1,6.211,6.217,0.005999999999999339,61,False
CZ,nuscale_voygr6,w_HI_minus_20,weight,a6bf9980-016e-47ea-b40a-82e384a9eb43,26,26,0,5.578,5.574,-0.004000000000000448,29,False
CZ,nuscale_voygr6,w_HI_minus_20,weight,a733fc13-11a4-4722-b62d-85c85a4f8ef3,12,11,-1,6.419,6.434,0.015000000000000568,29,False
PL,nuscale_voygr6,w_HI_minus_20,weight,a7eeee6e-e14a-40ba-80b6-75ed2e170b20,42,43,1,5.951,5.946,-0.004999999999999893,61,False
PL,nuscale_voygr6,w_HI_minus_20,weight,a91dfe3d-93e0-43a1-99d2-41abdd1fc2ce,58,58,0,5.591,5.607,0.016000000000000014,61,False
TR,nuscale_voygr6,w_HI_minus_20,weight,a96dc545-41a9-4b0d-a7a3-f40ef711e5e3,45,45,0,6.555,6.493,-0.06199999999999939,110,False
BA,nuscale_voygr6,w_HI_minus_20,weight,aa0bdb5e-45aa-4d15-8aee-cb5b0e14f5d9,3,3,0,5.901,5.904,0.0030000000000001137,5,False
TR,nuscale_voygr6,w_HI_minus_20,weight,aa336cdc-f6fe-4b08-b46d-69e852c501bf,41,38,-3,6.573,6.528,-0.04500000000000082,110,False
CZ,nuscale_voygr6,w_HI_minus_20,weight,aa38441d-aec7-4ae9-b4c3-68c5bf567db3,19,19,0,6.122,6.138,0.016000000000000014,29,False
HR,nuscale_voygr6,w_HI_minus_20,weight,ab151830-e5bd-46de-8400-01aa4c165366,1,1,0,6.433,6.399,-0.03399999999999981,1,True
PL,nuscale_voygr6,w_HI_minus_20,weight,ab57f5c3-8699-46f9-970f-3007dfc58af4,23,23,0,6.463,6.491,0.02799999999999958,61,False
TR,nuscale_voygr6,w_HI_minus_20,weight,ad0c8590-c672-43f2-a813-1217a10f7d2d,1,1,0,7.473,7.409,-0.06400000000000006,110,False
PL,nuscale_voygr6,w_HI_minus_20,weight,ad7a9c00-0c75-411f-8f89-859e603df1e6,54,54,0,5.695,5.695,0.0,61,False
TR,nuscale_voygr6,w_HI_minus_20,weight,adeb10a5-aaae-4e2c-b426-3db1c3d9bd5b,71,73,2,6.191,6.111,-0.08000000000000007,110,False
