criterion_a,criterion_b,pearson,spearman,max_abs,n_pairs,flagged
EP-04,RI-03,0.0545,0.0975,0.0975,360,False
HI-02,NS-04,-0.0973,-0.0952,0.0973,360,False
HI-02,NH-07,-0.088,-0.0963,0.0963,360,False
NH-12,RI-05,0.0845,0.0963,0.0963,360,False
NH-05,NH-11,0.0957,0.0619,0.0957,360,False
NS-04,NS-05,-0.0746,-0.0955,0.0955,360,False
BF-02,EP-01,0.0789,0.0949,0.0949,360,False
NH-06,NH-11,0.0731,0.0944,0.0944,360,False
HI-01,NH-12,-0.0941,-0.0861,0.0941,360,False
NH-07,RI-05,-0.0891,-0.0933,0.0933,360,False
NS-05,RI-02,-0.0459,-0.0932,0.0932,360,False
EP-01,NH-11,0.0723,0.0929,0.0929,360,False
NH-02,NS-05,-0.092,-0.0837,0.092,360,False
HI-04,NH-01,-0.0833,-0.0915,0.0915,360,False
BF-02,RI-02,-0.0775,-0.0912,0.0912,360,False
EP-04,NS-03,-0.0907,-0.0815,0.0907,360,False
NH-14,RI-03,0.0039,-0.0906,0.0906,360,False
NS-03,RI-03,0.0825,0.0906,0.0906,360,False
NH-05,RI-02,0.0904,0.0393,0.0904,360,False
EP-02,NH-08,0.0901,0.0574,0.0901,360,False
NS-05,NS-08,0.0717,0.0892,0.0892,360,False
NH-08,NH-10,-0.0887,-0.0576,0.0887,360,False
NH-02,NH-09,0.0885,0.0499,0.0885,360,False
NH-02,NS-03,-0.0883,-0.0864,0.0883,360,False
HI-04,NH-02,-0.0709,-0.0883,0.0883,360,False
HI-03,NH-10,0.0438,0.0878,0.0878,360,False
RI-02,RI-04,-0.0876,-0.0768,0.0876,360,False
NS-03,NS-08,-0.0639,-0.0866,0.0866,360,False
NH-07,NS-03,0.0757,0.0862,0.0862,360,False
NS-01,NS-02,-0.0789,-0.0853,0.0853,360,False
NH-02,NH-11,0.0852,0.023,0.0852,360,False
HI-04,NH-12,0.0674,0.0851,0.0851,360,False
NH-02,NH-08,0.0234,0.0849,0.0849,360,False
HI-01,NH-08,-0.0842,-0.0832,0.0842,360,False
EP-03,NS-04,0.0783,0.0838,0.0838,360,False
BF-01,NH-14,-0.0802,-0.0838,0.0838,360,False
HI-04,NH-07,-0.0771,-0.0832,0.0832,360,False
BF-01,NH-02,-0.0434,-0.0828,0.0828,360,False
NH-04,NS-08,-0.0827,-0.0821,0.0827,360,False
NH-11,NS-02,0.07,0.0823,0.0823,360,False
NH-03,NS-01,-0.0822,-0.0663,0.0822,360,False
BF-01,EP-04,0.055,0.0822,0.0822,360,False
NH-08,NH-09,0.0596,0.0818,0.0818,360,False
BF-02,NH-10,0.0752,0.0818,0.0818,360,False
RI-05,RI-06,0.0739,0.0813,0.0813,360,False
HI-02,HI-03,0.0438,0.0804,0.0804,360,False
HI-02,RI-02,-0.08,-0.0602,0.08,360,False
BF-01,HI-07,-0.0797,-0.0375,0.0797,360,False
HI-04,RI-06,-0.0663,-0.0796,0.0796,360,False
NH-01,NH-12,0.0795,0.0557,0.0795,360,False
NH-06,NH-14,0.0423,-0.0788,0.0788,360,False
HI-01,NS-03,-0.0442,-0.0786,0.0786,360,False
HI-06,NS-03,-0.0178,-0.078,0.078,360,False
HI-04,NS-04,-0.0779,-0.0672,0.0779,360,False
EP-01,NH-14,-0.0594,-0.0776,0.0776,360,False
EP-04,NH-11,-0.0774,-0.0609,0.0774,360,False
HI-04,NS-01,-0.0683,-0.0765,0.0765,360,False
HI-03,NH-06,0.0405,0.0764,0.0764,360,False
HI-01,RI-03,0.0659,0.0764,0.0764,360,False
NS-03,RI-06,0.0757,0.0494,0.0757,360,False
NH-05,NS-02,0.0556,0.0757,0.0757,360,False
HI-03,HI-04,0.0474,0.0755,0.0755,360,False
NH-04,NH-11,0.0753,0.0705,0.0753,360,False
EP-02,NS-01,-0.0746,-0.0753,0.0753,360,False
HI-02,HI-07,0.0751,0.0744,0.0751,360,False
NH-04,NH-14,-0.075,-0.0631,0.075,360,False
HI-02,NH-11,-0.0692,-0.0749,0.0749,360,False
NH-09,NH-11,0.0749,0.0603,0.0749,360,False
NH-11,NS-05,0.0213,0.0749,0.0749,360,False
BF-02,NH-11,0.0578,0.0746,0.0746,360,False
BF-01,NH-06,0.0735,0.0684,0.0735,360,False
NH-03,NS-02,-0.0573,-0.0724,0.0724,360,False
EP-01,NH-10,-0.0709,-0.0631,0.0709,360,False
EP-03,NH-02,0.0605,0.0702,0.0702,360,False
NH-10,RI-05,-0.07,-0.0427,0.07,360,False
BF-02,NS-08,0.0694,0.0692,0.0694,360,False
NH-03,RI-03,-0.0687,-0.0516,0.0687,360,False
NH-01,NH-03,-0.0684,-0.0453,0.0684,360,False
EP-04,NH-04,-0.0668,-0.0679,0.0679,360,False
BF-02,NS-01,-0.0677,-0.0627,0.0677,360,False
HI-06,NH-03,0.0646,0.0677,0.0677,360,False
EP-02,NS-03,0.0473,0.0672,0.0672,360,False
NH-14,RI-04,-0.0669,-0.0551,0.0669,360,False
EP-01,NH-02,0.0109,-0.0666,0.0666,360,False
NH-02,NH-04,0.059,0.0666,0.0666,360,False
RI-03,RI-05,0.065,0.0665,0.0665,360,False
NH-06,RI-02,0.0665,0.0068,0.0665,360,False
EP-02,RI-03,-0.0393,-0.0661,0.0661,360,False
NH-09,NS-05,0.0549,0.066,0.066,360,False
BF-02,EP-03,-0.0655,-0.0534,0.0655,360,False
EP-04,NH-12,0.0532,0.0654,0.0654,360,False
NH-02,NH-10,0.0647,0.023,0.0647,360,False
HI-06,RI-06,0.0333,0.0645,0.0645,360,False
HI-03,RI-03,0.0312,0.0643,0.0643,360,False
EP-04,RI-02,-0.0552,-0.0633,0.0633,360,False
HI-04,HI-07,0.0632,0.0545,0.0632,360,False
HI-01,NH-03,0.0631,0.0483,0.0631,360,False
BF-01,HI-02,0.0545,0.063,0.063,360,False
NH-06,RI-06,0.0629,0.0009,0.0629,360,False
HI-04,NH-14,-0.0579,-0.0627,0.0627,360,False
NH-12,RI-03,-0.0313,-0.0623,0.0623,360,False
HI-01,HI-02,-0.0549,-0.0617,0.0617,360,False
HI-01,NH-11,-0.0616,-0.0453,0.0616,360,False
NH-14,NS-05,-0.0356,-0.0611,0.0611,360,False
NH-07,NH-09,-0.0608,-0.0599,0.0608,360,False
