run_id,site_id,smr_key,country_code,bucket,n_hard,n_floor,n_distinct_failures,hard_criteria,floor_criteria,created_at,site_name,country_code
fail_20260425b_ff84d75e,32484f7b-18a4-4b21-8e6a-6d68ae099d02,nuscale_voygr6,CZ,both,1,1,1,['NH-05'],['NH-05'],2026-04-25 14:20:46.515610+00:00,Pocerady power station,CZ
fail_20260425b_ff84d75e,20bce4f5-ca0b-4145-87e5-0a0694343f31,nuscale_voygr6,CZ,both,1,3,3,['NH-05'],"['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.515609+00:00,Porici power station,CZ
fail_20260425b_ff84d75e,60baaa73-dd8c-4865-bb18-6c73d63a4052,nuscale_voygr6,CZ,both,1,3,3,['NH-05'],"['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.515611+00:00,Prerov power station,CZ
fail_20260425b_ff84d75e,0ae8917b-a70b-41e5-82de-e4963a7686e3,nuscale_voygr6,CZ,both,1,3,3,['NH-05'],"['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.515607+00:00,Pribram power station,CZ
fail_20260425b_ff84d75e,b0ba194f-3c80-4725-b1e7-fa5277b38833,nuscale_voygr6,CZ,both,1,3,3,['NH-05'],"['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.515613+00:00,Prunerov power station,CZ
fail_20260425b_ff84d75e,20c9d02d-e9e8-40b3-a11e-7a2e01018d8c,nuscale_voygr6,CZ,both,2,1,2,"['EP-01', 'NH-05']",['NH-05'],2026-04-25 14:20:46.515609+00:00,Sko-Energo power station,CZ
fail_20260425b_ff84d75e,14e88076-ce0e-4693-bca4-e80f3f013c7f,nuscale_voygr6,CZ,both,1,3,3,['NH-05'],"['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.515608+00:00,Tisova power station,CZ
fail_20260425b_ff84d75e,66c3f077-1ee6-41d7-8e6c-da374bb45139,nuscale_voygr6,CZ,both,2,2,3,"['EP-01', 'NH-05']","['NH-04', 'NH-05']",2026-04-25 14:20:46.515611+00:00,Trebovice power station,CZ
fail_20260425b_ff84d75e,63601ccc-3f20-4cbd-95cb-0fbeaf821c6a,nuscale_voygr6,CZ,both,1,3,3,['NH-05'],"['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.515611+00:00,Trinec-E3 power station,CZ
fail_20260425b_ff84d75e,287cbb48-bb08-40dd-82c5-cfe1530dfbb9,nuscale_voygr6,CZ,both,1,3,3,['NH-05'],"['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.515609+00:00,Tusimice power station,CZ
fail_20260425b_ff84d75e,5f4ed23c-cea2-41ef-a3e8-ac863e1bdcd6,nuscale_voygr6,CZ,both,1,3,3,['NH-05'],"['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.515611+00:00,Vresova TPS power station,CZ
