site_id,name,country_code,country_name,latitude,longitude,plant_type,status,region,elevation_m,installed_capacity_mw,site_area_ha
b8bc6544-1571-4906-95e0-314d62c78a24,Ostrołęka power station,PL,Poland,53.103611,21.6125,coal,operating,Europe,98.89,1681.1,32.05
ab57f5c3-8699-46f9-970f-3007dfc58af4,Patnow power station,PL,Poland,52.302,18.237,lignite,operating,Europe,100.14,1718.0,53.08
8a9d5c87-7edc-49c3-85a2-d97727b9c9b2,Piast Ruch Power Station,PL,Poland,50.016287,19.096709,coal,cancelled,Europe,247.62,800.0,57.24
2981a12d-3444-4301-96ba-a63ef50bec3e,Polaniec power station,PL,Poland,50.437685,21.33769,coal,operating,Europe,164.78,1882.0,116.37
b24f9ac5-5ddf-4b19-ba95-76dafeca3d2c,Pólnoc power station,PL,Poland,53.962892,18.711758,coal,cancelled,Europe,56.77,1600.0,5.46
e2c23866-db1e-4316-82b5-7e3fe50c3c09,Pomorzany power station,PL,Poland,53.390996,14.524786,coal,operating,Europe,23.79,134.0,5.74
40b4334a-7ba4-4ed8-aa8e-3c405599fbd7,Poznan Karolin power station,PL,Poland,52.436416,16.988658,coal,operating,Europe,82.35,313.0,7.53
dadadad9-b67e-44b8-a9ab-4cbf116da20b,Puchaczow power station,PL,Poland,51.3,22.966667,coal,cancelled,Europe,173.39,800.0,
cdc888ad-fd51-4710-a5ab-3cd0fe9ddb48,Pulawy power station (Grupa Azoty),PL,Poland,51.416443,21.969309,coal,construction,Europe,138.41,100.0,0.37
a19228ce-f25a-4ffd-a249-9d01403e6b81,Pulawy power station (Vattenfall),PL,Poland,51.416443,21.969309,coal,cancelled,Europe,138.41,1620.0,0.37
ee332928-87b2-4e7b-9203-20e402bc551f,Pulawy ZAP Works power station,PL,Poland,51.457211,21.973811,coal,operating,Europe,131.79,92.0,273.47
b8a00967-90a3-4a4e-9979-6b8651d87380,Rybnik power station,PL,Poland,50.13406,18.52196,coal,operating,Europe,227.83,2685.0,7.34
a7eeee6e-e14a-40ba-80b6-75ed2e170b20,Siechnice power station,PL,Poland,51.03794,17.15095,coal,retired,Europe,125.33,132.0,5.08
a67255dd-8134-418e-9377-e28516c53722,Siekierki power station,PL,Poland,52.191456,21.086218,coal,operating,Europe,85.93,991.0,56.74
47be3ec4-7abe-4f4c-ac3d-b7f753b8514a,Siersza power station,PL,Poland,50.208043,19.460943,coal,operating,Europe,351.02,1697.0,70.3
