run_id,site_id,smr_key,weight_profile,criterion_id,score_0_10,weight_normalised,weighted_contribution,category,created_at,site_name,country_code
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,HI-01,5.5,0.0247,0.136,HI,2026-04-25 14:03:25.097833+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,HI-02,9.5,0.0247,0.235,HI,2026-04-25 14:03:25.097833+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,HI-04,9.5,0.0212,0.2014,HI,2026-04-25 14:03:25.097834+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,HI-06,3.5,0.0212,0.0742,HI,2026-04-25 14:03:25.097834+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,NH-01,9.5,0.0318,0.3021,NH,2026-04-25 14:03:25.097834+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,NH-02,7.5,0.0318,0.2385,NH,2026-04-25 14:03:25.097834+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,NH-04,5.5,0.0177,0.0972,NH,2026-04-25 14:03:25.097834+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,NH-05,9.5,0.0247,0.235,NH,2026-04-25 14:03:25.097835+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,NH-06,5.5,0.0177,0.0972,NH,2026-04-25 14:03:25.097835+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,NH-10,9.5,0.0106,0.1007,NH,2026-04-25 14:03:25.097835+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,NH-11,4.0,0.0106,0.0424,NH,2026-04-25 14:03:25.097835+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,NH-12,9.5,0.0141,0.1343,NH,2026-04-25 14:03:25.097836+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,NS-01,6.0,0.0283,0.1696,NS,2026-04-25 14:03:25.097836+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,NS-02,5.5,0.0283,0.1555,NS,2026-04-25 14:03:25.097836+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,NS-03,5.0,0.0283,0.1413,NS,2026-04-25 14:03:25.097836+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,NS-04,7.5,0.0212,0.159,NS,2026-04-25 14:03:25.097836+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,NS-05,1.5,0.0177,0.0265,NS,2026-04-25 14:03:25.097837+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,NS-08,5.5,0.0212,0.1166,NS,2026-04-25 14:03:25.097837+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,RI-01,5.0,0.0212,0.106,RI,2026-04-25 14:03:25.097837+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,RI-04,5.5,0.0283,0.1555,RI,2026-04-25 14:03:25.097837+00:00,Zarnowiec power station,PL
